masters_university,masters_gpa,relevant_work_years,years_python,years_sql,first_job_salary
UC Berkeley,3.81,2,0,0,151967
UC Berkeley,3.86,4,0,1,173807
UC Berkeley,3.13,1,0,0,146127
UC Berkeley,3.3,2,2,2,104286
UC Berkeley,3.65,1,1,1,141192
UC Berkeley,3.54,2,0,2,151061
UC Berkeley,3.62,4,1,4,172082
UC Berkeley,3.41,0,0,0,117151
UC Berkeley,3.84,3,2,3,143401
UC Berkeley,3.82,3,3,0,172283
UC Berkeley,3.64,2,2,2,180668
UC Berkeley,3.9,0,0,0,117050
UC Berkeley,3.74,3,3,0,177605
UC Berkeley,3.41,2,1,1,139234
UC Berkeley,3.71,3,1,2,161864
UC Berkeley,3.38,3,0,1,132873
UC Berkeley,3.84,5,5,0,178281
UC Berkeley,3.61,2,2,0,171244
UC Berkeley,3.58,1,0,1,149248
UC Berkeley,3.45,3,2,1,180084
UC Berkeley,3.93,3,0,1,185416
UC Berkeley,3.58,5,4,5,184346
UC Berkeley,3.51,4,4,0,190700
UC Berkeley,3.53,3,0,3,162561
UC Berkeley,3.75,5,2,5,193189
UC Berkeley,3.71,1,0,1,140875
UC Berkeley,3.72,2,1,0,155290
UC Berkeley,3.73,1,1,0,135934
UC Berkeley,4.0,2,0,0,177278
UC Berkeley,3.52,1,0,1,120895
UC Berkeley,3.49,4,4,0,175542
UC Berkeley,3.42,2,0,1,140200
UC Berkeley,3.78,0,0,0,153153
UC Berkeley,3.9,1,0,0,162267
UC Berkeley,3.59,3,1,2,185870
UC Berkeley,3.41,4,2,0,168899
UC Berkeley,3.42,6,4,4,152859
UC Berkeley,3.78,7,2,0,186677
UC Berkeley,3.81,3,3,0,149481
UC Berkeley,3.76,1,1,0,139604
UC Berkeley,3.45,0,0,0,147039
UC Berkeley,3.68,3,1,3,172152
UC Berkeley,3.65,1,1,0,133163
UC Berkeley,3.68,2,2,1,139888
UC Berkeley,3.84,2,1,1,159797
UC Berkeley,3.68,2,0,1,133888
UC Berkeley,3.79,4,2,3,164162
UC Berkeley,3.64,3,2,3,167329
UC Berkeley,3.69,2,0,1,170040
UC Berkeley,3.78,1,1,1,158281
UC Berkeley,3.26,0,0,0,85000
UC Berkeley,3.54,2,2,0,153949
UC Berkeley,3.5,3,0,3,156022
UC Berkeley,3.46,5,4,3,177730
UC Berkeley,3.55,3,0,2,179893
UC Berkeley,4.0,4,3,4,152921
UC Berkeley,3.4,2,1,2,136238
UC Berkeley,3.86,1,0,1,159462
UC Berkeley,3.2,1,1,1,105177
UC Berkeley,3.54,1,0,0,160335
UC Berkeley,3.66,6,4,3,189603
UC Berkeley,3.77,1,0,0,158954
UC Berkeley,3.8,4,4,4,169948
UC Berkeley,3.82,1,1,0,161774
UC Berkeley,3.53,4,4,1,182264
UC Berkeley,3.51,3,1,0,157005
UC Berkeley,3.84,2,1,1,162704
UC Berkeley,3.57,3,2,2,163438
UC Berkeley,3.3,2,2,2,130068
UC Berkeley,3.34,3,3,1,149428
UC Berkeley,3.39,2,0,0,138847
UC Berkeley,3.75,1,1,0,152727
UC Berkeley,3.66,1,0,0,157369
UC Berkeley,3.79,3,1,1,148721
UC Berkeley,3.51,5,4,5,173498
UC Berkeley,3.66,3,1,2,183166
UC Berkeley,3.78,2,2,2,148500
UC Berkeley,3.54,3,1,0,142517
UC Berkeley,3.74,5,1,0,176643
UC Berkeley,3.46,3,1,3,167431
UC Berkeley,3.53,2,1,0,147675
UC Berkeley,3.53,4,3,0,183383
UC Berkeley,3.32,3,2,1,162445
UC Berkeley,3.74,5,5,5,197500
UC Berkeley,3.5,3,3,2,166762
UC Berkeley,3.62,1,1,0,177650
UC Berkeley,3.74,1,1,1,144755
UC Berkeley,3.73,5,1,5,148466
UC Berkeley,3.79,5,2,4,204998
UC Berkeley,3.6,2,0,2,143453
UC Berkeley,3.52,2,1,0,148595
UC Berkeley,3.6,5,5,5,199558
UC Berkeley,3.2,1,0,0,102328
UC Berkeley,3.26,1,0,1,110689
UC Berkeley,3.29,4,3,2,133196
UC Berkeley,3.37,2,2,2,133542
UC Berkeley,3.72,3,3,2,172650
UC Berkeley,3.39,2,0,1,150120
UC Berkeley,3.53,3,1,2,160392
UC Berkeley,3.95,5,3,4,166789
Stanford,3.47,5,4,2,177055
Stanford,3.7,6,5,5,205858
Stanford,3.76,5,5,2,170081
Stanford,3.62,6,5,5,174201
Stanford,3.78,2,1,1,156252
Stanford,3.65,5,2,5,167640
Stanford,3.72,2,0,1,162309
Stanford,3.41,3,0,1,110324
Stanford,3.54,7,2,6,167226
Stanford,3.64,6,0,2,158848
Stanford,3.79,4,2,2,132872
Stanford,3.49,3,3,0,135867
Stanford,3.72,1,1,0,126668
Stanford,3.52,4,2,2,155155
Stanford,3.56,9,8,1,211096
Stanford,3.8,6,6,6,185445
Stanford,3.09,4,4,4,132597
Stanford,3.26,6,3,4,163164
Stanford,3.22,3,1,2,155535
Stanford,3.0,5,5,3,136763
Stanford,3.42,5,1,0,143228
Stanford,3.78,5,2,2,181257
Stanford,3.52,6,0,3,164047
Stanford,3.64,6,5,6,191806
Stanford,3.86,6,4,1,183189
Stanford,3.92,4,0,2,179640
Stanford,3.57,6,1,2,154232
Stanford,3.93,7,4,1,190861
Stanford,3.61,4,2,0,156144
Stanford,3.38,4,4,1,136932
Stanford,3.44,7,2,0,146545
Stanford,3.22,5,5,0,166153
Stanford,3.37,7,3,2,165663
Stanford,3.5,4,4,1,144031
Stanford,3.79,7,1,4,183287
Stanford,4.0,5,0,0,192651
Stanford,3.24,5,0,1,116016
Stanford,3.69,7,2,3,159186
Stanford,3.33,4,4,4,142550
Stanford,3.71,4,0,3,184569
Stanford,3.56,4,1,4,164090
Stanford,3.13,6,0,2,164352
Stanford,3.82,3,3,1,145787
Stanford,3.44,6,4,2,152776
Stanford,3.45,4,3,4,166044
Stanford,3.32,7,5,7,178212
Stanford,3.42,1,1,1,139341
Stanford,3.7,4,3,3,163927
Stanford,3.54,2,0,1,145906
Stanford,3.67,4,4,2,168746
Stanford,3.68,5,4,5,187155
Stanford,3.92,5,4,1,191982
Stanford,3.5,5,2,2,139024
Stanford,3.22,5,4,5,125690
Stanford,3.86,5,2,2,190686
Stanford,3.51,4,0,1,171413
Stanford,3.87,6,6,3,173306
Stanford,3.68,6,1,2,145820
Stanford,3.56,6,0,6,173201
Stanford,3.68,6,4,6,195877
Stanford,4.0,5,1,1,205195
Stanford,4.0,8,7,4,214030
Stanford,3.61,5,2,5,164353
Stanford,3.63,5,0,4,153326
Stanford,3.86,4,4,1,172087
Stanford,3.38,3,2,2,142378
Stanford,3.67,3,1,2,140455
Stanford,3.58,4,3,3,193503
Stanford,3.67,5,3,0,195346
Stanford,3.38,6,0,2,178612
Stanford,3.19,5,4,5,144600
Stanford,3.07,4,2,1,154185
Stanford,3.31,6,4,2,174680
Stanford,3.47,6,6,2,180488
Stanford,3.51,5,3,1,183001
Stanford,4.0,4,3,0,183938
Stanford,3.86,6,1,2,191140
Stanford,3.35,5,1,5,168957
Stanford,3.68,3,1,0,158921
Stanford,3.49,5,5,1,139505
Stanford,3.52,5,3,0,164587
Stanford,3.63,4,1,2,152277
Stanford,3.74,5,4,1,154541
Stanford,3.5,3,3,3,179025
Stanford,3.85,7,7,4,221942
Stanford,3.3,7,2,6,191594
Stanford,3.59,5,4,3,174205
Stanford,4.0,6,4,3,210532
Stanford,3.64,1,0,1,137468
Stanford,3.95,3,1,1,167349
Stanford,3.61,5,0,5,150720
Stanford,3.73,3,1,3,164803
Stanford,3.57,6,3,4,175772
Stanford,3.55,8,7,6,172845
Stanford,3.39,3,3,1,147178
Stanford,3.7,4,0,4,162067
Stanford,3.38,5,4,4,190834
Stanford,3.75,7,0,7,198435
Stanford,3.86,3,2,1,162935
Stanford,3.68,5,2,4,175260
UCLA,3.28,0,0,0,122472
UCLA,3.52,1,1,0,135272
UCLA,3.37,3,2,2,133650
UCLA,3.24,3,1,3,126555
UCLA,3.68,3,3,3,177922
UCLA,3.65,4,2,3,167655
UCLA,3.11,3,2,1,135575
UCLA,3.52,5,4,2,175259
UCLA,3.8,3,2,0,179786
